Character,Unicode,Index,Row,Col,X,Y,Width,WidthRatio
–,U+2013,198,12,6,768,1536,65,0.5078
—,U+2014,199,12,7,896,1536,120,0.9375
‚,U+201A,200,12,8,1024,1536,33,0.2578
"""",U+0022,201,12,9,1152,1536,42,0.3281
"""",U+0022,202,12,10,1280,1536,42,0.3281
„,U+201E,203,12,11,1408,1536,46,0.3594
†,U+2020,204,12,12,1536,1536,52,0.4062
‡,U+2021,205,12,13,1664,1536,52,0.4062
•,U+2022,206,12,14,1792,1536,75,0.5859
…,U+2026,207,12,15,1920,1536,120,0.9375
‰,U+2030,208,13,0,0,1664,129,1.0078
‹,U+2039,209,13,1,128,1664,35,0.2734
›,U+203A,210,13,2,256,1664,35,0.2734
€,U+20AC,211,13,3,384,1664,31,0.2422
™,U+2122,212,13,4,512,1664,102,0.7969
